Club,year,actual_rank,forecast_a_rank,forecast_b_rank,finish_1_p10,finish_1_p25,finish_1_p75,finish_1_p90,finish_2_p10,finish_2_p25,finish_2_p75,finish_2_p90
Sydney,2023,8,8.80280838001513,6.1914685904158215,2,5,13,15,2,3,9,11
West Coast,2023,18,12.751291618338852,11.420433079984875,8,9,16,18,5,8,16,17
Western Bulldogs,2023,9,10.829195533664675,11.385290819009496,3,7,18,18,4,11,14,15
Adelaide,2024,15,10.330049030840032,10.168367416911138,5,6,15,16,6,7.063547373195036,13,17
Brisbane Lions,2024,5,4.739880122851629,6.796010928490989,1,3,8,9,2,3,12,12
Carlton,2024,8,7.634232684424031,8.59478594635017,3,5,10,12,4,4,12,12.926763859408112
Collingwood,2024,9,9.305620388257978,8.654587057087562,2,3,13,16,1,4,14,15
Essendon,2024,11,6.844865341000401,7.036043845691617,1,3,10.589899478997268,14,2,4,13,14
Fremantle,2024,10,7.20535652755021,4.673808964243841,1,2,10,16,1,1,6,10
Geelong,2024,3,10.53928339435489,10.861754835629549,2,9.314472738646177,13,16,3,5,15,18
Gold Coast,2024,13,9.638533490186068,7.8797472041562795,6,7,13,16,3,4,11,13
Greater Western Sydney,2024,4,9.03703642649101,8.637734655553775,3.420825552191724,4,13,16.574859939451045,3,6.2082555219172235,10,14
Hawthorn,2024,7,8.747593441099198,9.15512765754378,2,5,11,14,5,7,10,15
Melbourne,2024,14,8.426913712219417,8.972639262837587,1,3,13,13,2,4,13.736806547665488,18
North Melbourne,2024,17,11.810549407087604,10.400734543350248,5,11,15,17,2,7,15,17
Port Adelaide,2024,2,9.452707111643017,7.676895986321342,6,6,10,15,3,7,10,12
Richmond,2024,18,11.708058099827301,10.399715570167402,6,6.539173443609663,15,15,4,7.539173443609663,14.617520330828995,16
St Kilda,2024,12,9.124973401293882,10.30521990402239,1,4,14,15,2,8,14,15
Sydney,2024,1,6.244208433620475,6.317735845961201,1,4,9,17,1,1,9,10
West Coast,2024,16,13.99334935317661,10.856440789949069,9,13.303457142587952,16,18,6,6,15.910371427763863,17
Western Bulldogs,2024,6,8.04429026777927,10.437262690884477,3,4.95365786458008,11,13,4,7,15,15
Adelaide,2025,1,6.679172298199647,7.881355406146679,4,4,9,11,3,5,9,14
Brisbane Lions,2025,3,4.6981697576683015,6.45577703209522,1,2,8,9,2,3,12,12
Carlton,2025,11,10.426282624944637,10.604514252334383,4,7,14,15,1,8,14,15
Collingwood,2025,4,7.506423373836623,10.939140736229232,1,2,12,16,1.271164195998498,9.53373146998873,15,15
Essendon,2025,15,13.631544830693903,11.45624860228979,9,11,16,16,7,9,14,16
Fremantle,2025,6,6.805028998829168,6.9116206076048785,2,5,7,17,1,4.952677443059017,10,10
Geelong,2025,2,8.589351875405663,7.561894799813317,2,4,12,16,1,3,14,15
Gold Coast,2025,7,8.260015593129573,9.805281787979814,5,6.919397694952799,10,11.054915850915037,5,7.169013226339786,13,17
Greater Western Sydney,2025,5,8.218495475462339,8.014080421172855,1,2,13,17,2,3,11,13
Hawthorn,2025,8,6.816229592214202,4.599769894675189,2,5,9,11,1,3,6,11.089277893906342
Melbourne,2025,14,12.482006052366529,8.844622749878786,7,11,15,18,3,3,16,18
North Melbourne,2025,16,12.74681388409993,10.543922435806667,8,11,16,17,5,7,14.588601650332805,18
Port Adelaide,2025,13,9.233869943009259,8.211112129308123,2,4,14,15,1,6,12,12
Richmond,2025,17,14.365500418028393,12.121601154479864,11,11,17,18,7,7,17,17
St Kilda,2025,12,8.189524008611809,9.884038918773832,1,2,14.002276847461985,16,2,7,13,15
Sydney,2025,10,9.901676736367907,8.789374344611689,3,4,17,18,2,2,17,17.790517497566015
West Coast,2025,18,13.736083816634972,13.233475024289005,11,12,17,17,9.33173950397002,12,17,18
Western Bulldogs,2025,9,7.923923154868194,8.57768393161232,3,6,11,12.21062942658375,3,4,14,15
